Clave del Capitulo;Nombre capitulo;Partida Fracción;Nombre;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo
47;"Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar (desperdicios y desechos)";06;Pasta de fibras obtenidas de papel o cartón reciclado (desperdicios y desechos) o de las demás materias fibrosas celulósicas.;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";06;Papel y cartón sulfurizados, papel resistente a las grasas, papel vegetal, papel cristal y demás papeles calandrados trasparentes o traslúcidos, en bobinas (rollos) o en hojas.;1/11/11;NULL;SI
49;"Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos";06;"Planos y dibujos originales hechos a mano, de arquitectura, ingeniería, industriales, comerciales, topográficos o similares; textos manuscritos; reproducciones fotográficas sobre papel sensibilizado y copias con papel carbón (carbónico), de los planos, di";1/11/11;NULL;SI
50;Seda;06;"Hilados de seda o de desperdicios de seda, acondicionados para la venta al por menor; ""pelo de Mesina"" (""crin de Florencia"").";1/11/11;NULL;SI
51;"Lana y pelo fino u ordinario; hilados y tejidos de crin";06;Hilados de lana cardada sin acondicionar para la venta al por menor.;1/11/11;NULL;SI
52;Algodón;06;Hilados de algodón (excepto el hilo de coser) con un contenido de algodón inferior al 85% en peso, sin acondicionar para la venta al por menor.;1/11/11;NULL;SI
53;"Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel";06;Hilados de lino.;1/11/11;NULL;SI
54;"Filamentos sintéticos o artificiales; tiras y formas similares de materia textil sintética o artificial";06;Hilados de filamentos sintéticos o artificiales (excepto el hilo de coser), acondicionados para la venta al por menor.;1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;06;Fibras sintéticas discontinuas, cardadas, peinadas o transformadas de otro modo para la hilatura.;1/11/11;NULL;SI
56;"Guata, fieltro y tela sin tejer; hilados especiales; cordeles, cuerdas y cordajes; artículos de cordelería.";06;"Hilados entorchados, tiras y formas similares de las partidas 54.04 ó 54.05, entorchadas (excepto los de la partida 56.05 y los hilados de crin entorchados); hilados de chenilla; hilados ""de cadeneta"".";1/11/11;NULL;SI
58;"Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados";06;"Cintas, excepto los artículos de la partida 58.07; cintas sin trama, de hilados o fibras paralelizados y aglutinados.";1/11/11;NULL;SI
59;"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil";06;Telas cauchutadas, excepto las de la partida 59.02.;1/11/11;NULL;SI
09;Café, té, yerba mate y especias;06;Canela y flores de canelero.;1/11/11;NULL;SI
10;Cereales;06;Arroz.;1/11/11;NULL;SI
11;"Productos de la molinería; malta; almidón y fécula; inulina; gluten de trigo";06;Harina, sémola y polvo de las hortalizas de la partida 07.13, de sagú o de las raíces o tubérculos de la partida 07.14 o de los productos del Capítulo 08.;1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";06;Semilla de girasol, incluso quebrantada.;1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";06;Las demás grasas y aceites animales, y sus fracciones, incluso refinados, pero sin modificar químicamente.;1/11/11;NULL;SI
34;Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas y artículos similares, pastas para modelar, “ceras para odontología” y preparaciones para odont;06;Velas, cirios y artículos similares.;1/11/11;NULL;SI
35;"Materias albuminoideas; productos a base de almidón o de fécula modificados; colas; enzimas";06;"Colas y demás adhesivos preparados, no expresados ni comprendidos en otra parte; productos de cualquier clase utilizados como colas o adhesivos, acondicionados para la venta al por menor como colas o adhesivos, de peso neto inferior o igual a 1 kg.";1/11/11;NULL;SI
36;"Pólvora y explosivos; artículos de pirotecnia; fósforos (cerillas); aleaciones pirofóricas; materias inflamables";06;"Ferrocerio y demás aleaciones pirofóricas en cualquier forma; artículos de materias inflamables a que se refiere la Nota 2 de este Capítulo.";1/11/11;NULL;SI
37;Productos fotográficos o cinematográficos;06;Películas cinematográficas (filmes), impresionadas y reveladas, con registro de sonido o sin él, o con registro de sonido solamente.;1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;06;"Colofonias y ácidos resínicos, y sus derivados; esencia y aceites de colofonia; gomas fundidas.";1/11/11;NULL;SI
41;Pieles (excepto la peletería) y cueros;06;"Cueros y pieles depilados de los demás animales y pieles de animales sin pelo, curtidos o ""crust"", incluso divididos pero sin otra preparación.";1/11/11;NULL;SI
42;"Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos de mano (carteras) y continentes similares; manufacturas de tripa";06;Manufacturas de tripa, vejigas o tendones.;1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;06;Traviesas (durmientes) de madera para vías férreas o similares.;1/11/11;NULL;SI
29;Productos químicos orgánicos;06;Alcoholes cíclicos y sus derivados halogenados, sulfonados, nitrados o nitrosados.;1/11/11;NULL;SI
30;Productos farmacéuticos;06;Preparaciones y artículos farmacéuticos a que se refiere la Nota 4 de este Capítulo.;1/11/11;NULL;SI
32;"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas";06;"Las demás materias colorantes; preparaciones a que se refiere la Nota 3 de este Capítulo, excepto las de las partidas 32.03, 32.04 ó 32.05; productos inorgánicos de los tipos utilizados como luminóforos, aunque sean de constitución química definida.";1/11/11;NULL;SI
33;"Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética";06;"Preparaciones para higiene bucal o dental, incluidos los polvos y cremas para la adherencia de las dentaduras; hilo utilizado para limpieza de los espacios interdentales (hilo dental), en envases individuales para la venta al por menor.";1/11/11;NULL;SI
83;Manufacturas diversas de metal común;06;"Campanas, campanillas, gongos y artículos similares, que no sean eléctricos, de metal común; estatuillas y demás artículos de adorno, de metal común; marcos para fotografías, grabados o similares, de metal común; espejos de metal común.";1/11/11;NULL;SI
01;Animales vivos;06;Los demás animales vivos.;1/11/11;NULL;SI
39;Plástico y sus manufacturas;06;Polímeros acrílicos en formas primarias.;1/11/11;NULL;SI
40;Caucho y sus manufacturas;06;Las demás formas (por ejemplo: varillas, tubos, perfiles) y artículos (por ejemplo: discos, arandelas), de caucho sin vulcanizar.;1/11/11;NULL;SI
18;Cacao y sus preparaciones;06;Chocolate y demás preparaciones alimenticias que contengan cacao.;1/11/11;NULL;SI
20;Preparaciones de hortalizas, frutas u otros frutos o demás partes de plantas;06;Hortalizas, frutas u otros frutos o sus cortezas y demás partes de plantas, confitados con azúcar (almibarados, glaseados o escarchados).;1/11/11;NULL;SI
21;Preparaciones alimenticias diversas;06;Preparaciones alimenticias no expresadas ni comprendidas en otra parte.;1/11/11;NULL;SI
08;"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías";06;Uvas, frescas o secas, incluidas las pasas.;1/11/11;NULL;SI
02;Carne y despojos comestibles;06;Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados.;1/11/11;NULL;SI
03;Pescados y crustáceos, moluscos y demás invertebrados acuáticos;06;"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelado";1/11/11;NULL;SI
04;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal, no expresados ni comprendidos en otra parte";06;Quesos y requesón.;1/11/11;NULL;SI
05;Los demás productos de origen animal no expresados ni comprendidos en otra parte;06;"Huesos y núcleos córneos, en bruto, desgrasados, simplemente preparados (pero sin cortar en forma determinada), acidulados o desgelatinizados; polvo y desperdicios de estas materias.";1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;06;Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles similares, frescos o refrigerados.;1/11/11;NULL;SI
22;Bebidas, líquidos alcohólicos y vinagre;06;"Las demás bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alcohólicas, no expresadas ni comprendidas en otra parte.";1/11/11;NULL;SI
23;"Residuos y desperdicios de las industrias alimentarias; alimentos preparados para animales";06;"Tortas y demás residuos sólidos de la extracción de grasas o aceites vegetales, incluso molidos o en ""pellets"", excepto los de las partidas 23.04 ó 23.05.";1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";06;"Cuarzo (excepto las arenas naturales); cuarcita, incluso desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares.";1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;06;Minerales de aluminio y sus concentrados.;1/11/11;NULL;SI
27;"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales";06;Alquitranes de hulla, lignito o turba y demás alquitranes minerales, aunque estén deshidratados o descabezados, incluidos los alquitranes reconstituidos.;1/11/11;NULL;SI
28;"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos";06;"Cloruro de hidrógeno (ácido clorhídrico); ácido clorosulfúrico.";1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;07;Pepinos y pepinillos, frescos o refrigerados.;1/11/11;NULL;SI
22;Bebidas, líquidos alcohólicos y vinagre;07;"Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico superior o igual al 80% vol; alcohol etílico y aguardiente desnaturalizados, de cualquier graduación.";1/11/11;NULL;SI
23;"Residuos y desperdicios de las industrias alimentarias; alimentos preparados para animales";07;"Lías o heces de vino; tártaro bruto.";1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";07;Caolín y demás arcillas caolínicas, incluso calcinados.;1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;07;Minerales de plomo y sus concentrados.;1/11/11;NULL;SI
27;"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales";07;"Aceites y demás productos de la destilación de los alquitranes de hulla de alta temperatura; productos análogos en los que los constituyentes aromáticos predominen en peso sobre los no aromáticos.";1/11/11;NULL;SI
28;"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos";07;"Ácido sulfúrico; oleum.";1/11/11;NULL;SI
65;Sombreros, demás tocados, y sus partes;07;Desudadores, forros, fundas, armaduras, viseras y barboquejos (barbijos), para sombreros y demás tocados.;1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;07;Manufacturas de asfalto o de productos similares (por ejemplo: pez de petróleo, brea).;1/11/11;NULL;SI
69;Productos cerámicos;07;"Placas y baldosas, de cerámica, sin barnizar ni esmaltar, para pavimentación o revestimiento; cubos, dados y artículos similares, de cerámica, para mosaicos, sin barnizar ni esmaltar, incluso con soporte.";1/11/11;NULL;SI
70;Vidrio y sus manufacturas;07;Vidrio de seguridad constituido por vidrio templado o contrachapado.;1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";07;Chapado (plaqué) de plata sobre metal común, en bruto o semilabrado.;1/11/11;NULL;SI
72;Fundición, hierro y acero;07;Productos intermedios de hierro o acero sin alear.;1/11/11;NULL;SI
73;Manufacturas de fundición, hierro o acero;07;Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos), de fundición, hierro o acero.;1/11/11;NULL;SI
74;Cobre y sus manufacturas;07;Barras y perfiles, de cobre.;1/11/11;NULL;SI
75;Níquel y sus manufacturas;07;Tubos y accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos), de níquel.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;07;Hojas y tiras, delgadas, de aluminio (incluso impresas o fijadas sobre papel, cartón, plástico o soportes similares), de espesor inferior o igual a 0.2 mm (sin incluir el soporte).;1/11/11;NULL;SI
95;"Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios";07;"Cañas de pescar, anzuelos y demás artículos para la pesca con caña; salabardos, cazamariposas y redes similares; señuelos (excepto los de las partidas 92.08 ó 97.05) y artículos de caza similares.";1/11/11;NULL;SI
96;Manufacturas diversas;07;Cierres de cremallera (cierres relámpago) y sus partes.;1/11/11;NULL;SI
98;Operaciones especiales;07;Las demás operaciones especiales.;1/11/11;NULL;SI
79;Cinc y sus manufacturas;07;Las demás manufacturas de cinc.;1/11/11;NULL;SI
80;Estaño y sus manufacturas;07;Las demás manufacturas de estaño.;1/11/11;NULL;SI
81;"Los demás metales comunes; cermets; manufacturas de estas materias";07;Cadmio y sus manufacturas, incluidos los desperdicios y desechos.;1/11/11;NULL;SI
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";07;Útiles intercambiables para herramientas de mano, incluso mecánicas, o para máquinas herramienta (por ejemplo: de embutir, estampar, punzonar, roscar (incluso aterrajar), taladrar, escariar, brochar, fresar, tornear, atornillar), incluidas las hileras de ;1/11/11;NULL;SI
86;"Vehículos y material para vías férreas o similares, y sus partes; aparatos mecánicos (incluso electromecánicos) de señalización para vías de comunicación";07;Partes de vehículos para vías férreas o similares.;1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;07;Calzoncillos (incluidos los largos y los slips), camisones, pijamas, albornoces de baño, batas de casa y artículos similares, de punto, para hombres o niños.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;07;Camisetas, calzoncillos (incluidos los largos y los slips), camisones, pijamas, albornoces de baño, batas de casa y artículos similares, para hombres o niños.;1/11/11;NULL;SI
63;"Los demás artículos textiles confeccionados; juegos; prendería y trapos";07;Los demás artículos confeccionados, incluidos los patrones para prendas de vestir.;1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";07;Carrocerías de vehículos automóviles de las partidas 87.01 a 87.05, incluidas las cabinas.;1/11/11;NULL;SI
89;Barcos y demás artefactos flotantes;07;Los demás artefactos flotantes (por ejemplo: balsas, depósitos, cajones, incluso de amarre, boyas y balizas).;1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";07;Cámaras y proyectores cinematográficos, incluso con grabador o reproductor de sonido incorporados.;1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";07;Acumuladores eléctricos, incluidos sus separadores, aunque sean cuadrados o rectangulares.;1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";07;Motores de émbolo (pistón) alternativo y motores rotativos, de encendido por chispa (motores de explosión).;1/11/11;NULL;SI
91;Aparatos de relojería y sus partes;07;Interruptores horarios y demás aparatos que permitan accionar un dispositivo en un momento dado, con mecanismo de relojería o motor sincrónico.;1/11/11;NULL;SI
92;"Instrumentos musicales; sus partes y accesorios";07;Instrumentos musicales en los que el sonido se produzca o tenga que amplificarse eléctricamente (por ejemplo: órganos, guitarras, acordeones).;1/11/11;NULL;SI
93;Armas, municiones, y sus partes y accesorios;07;Sables, espadas, bayonetas, lanzas y demás armas blancas, sus partes y fundas.;1/11/11;NULL;SI
47;"Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar (desperdicios y desechos)";07;Papel o cartón para reciclar (desperdicios y desechos).;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";07;Papel y cartón obtenidos por pegado de hojas planas, sin estucar ni recubrir en la superficie y sin impregnar, incluso reforzados interiormente, en bobinas (rollos) o en hojas.;1/11/11;NULL;SI
49;"Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos";07;"Sellos (estampillas) de correos, timbres fiscales y análogos, sin obliterar, que tengan o estén destinados a tener curso legal en el país en el que su valor facial sea reconocido; papel timbrado; billetes de banco; cheques; títulos de acciones u obligacio";1/11/11;NULL;SI
50;Seda;07;Tejidos de seda o de desperdicios de seda.;1/11/11;NULL;SI
51;"Lana y pelo fino u ordinario; hilados y tejidos de crin";07;Hilados de lana peinada sin acondicionar para la venta al por menor.;1/11/11;NULL;SI
52;Algodón;07;Hilados de algodón (excepto el hilo de coser) acondicionados para la venta al por menor.;1/11/11;NULL;SI
53;"Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel";07;Hilados de yute o demás fibras textiles del líber de la partida 53.03.;1/11/11;NULL;SI
54;"Filamentos sintéticos o artificiales; tiras y formas similares de materia textil sintética o artificial";07;Tejidos de hilados de filamentos sintéticos, incluidos los tejidos fabricados con los productos de la partida 54.04.;1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;07;Fibras artificiales discontinuas, cardadas, peinadas o transformadas de otro modo para la hilatura.;1/11/11;NULL;SI
56;"Guata, fieltro y tela sin tejer; hilados especiales; cordeles, cuerdas y cordajes; artículos de cordelería.";07;Cordeles, cuerdas y cordajes, estén o no trenzados, incluso impregnados, recubiertos, revestidos o enfundados con caucho o plástico.;1/11/11;NULL;SI
58;"Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados";07;Etiquetas, escudos y artículos similares, de materia textil, en pieza, cintas o recortados, sin bordar.;1/11/11;NULL;SI
59;"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil";07;"Las demás telas impregnadas, recubiertas o revestidas; lienzos pintados para decoraciones de teatro, fondos de estudio o usos análogos.";1/11/11;NULL;SI
09;Café, té, yerba mate y especias;07;Clavo (frutos, clavillos y pedúnculos).;1/11/11;NULL;SI
10;Cereales;07;Sorgo de grano (granífero).;1/11/11;NULL;SI
