Clave del capitulo;Partida Fracción;Clave Subpartida Fracción;Nombre;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo
40;02;39;Los demás.;1/11/11;NULL;SI
74;09;39;Las demás.;1/11/11;NULL;SI
74;15;39;Los demás.;1/11/11;NULL;SI
44;12;39;Las demás.;1/11/11;NULL;SI
40;10;39;Las demás.;1/11/11;NULL;SI
42;02;39;Los demás.;1/11/11;NULL;SI
90;30;39;Los demás, con dispositivo registrador.;1/11/11;NULL;SI
70;13;39;S/N;1/11/11;NULL;SI
72;16;39;S/N;1/11/11;NULL;SI
03;02;39;Los demás.;1/11/11;NULL;SI
44;08;39;Las demás.;1/11/11;NULL;SI
07;12;39;Los demás.;1/11/11;NULL;SI
07;13;39;Los demás.;1/11/11;NULL;SI
51;05;39;Los demás.;1/11/11;NULL;SI
73;04;39;Los demás.;1/11/11;NULL;SI
73;05;39;Los demás.;1/11/11;NULL;SI
73;14;39;Las demás.;1/11/11;NULL;SI
82;02;39;Las demás, incluidas las partes.;1/11/11;NULL;SI
39;12;39;Los demás.;1/11/11;NULL;SI
39;17;39;Los demás.;1/11/11;NULL;SI
52;08;39;Los demás tejidos.;1/11/11;NULL;SI
84;12;39;Los demás.;1/11/11;NULL;SI
03;03;39;Los demás.;1/11/11;NULL;SI
03;07;39;Los demás.;1/11/11;NULL;SI
48;10;39;Los demás.;1/11/11;NULL;SI
84;21;39;Los demás.;1/11/11;NULL;SI
84;25;39;Los demás.;1/11/11;NULL;SI
01;06;39;Las demás.;1/11/11;NULL;SI
29;33;39;Los demás.;1/11/11;NULL;SI
30;03;39;Los demás.;1/11/11;NULL;SI
48;04;39;Los demás.;1/11/11;NULL;SI
48;02;40;Papel soporte para papeles de decorar paredes.;1/11/11;NULL;SI
48;05;40;Papel y cartón filtro.;1/11/11;NULL;SI
48;06;40;Papel cristal y demás papeles calandrados trasparentes o traslúcidos.;1/11/11;NULL;SI
48;18;40;Compresas y tampones higiénicos, pañales para bebés y artículos higiénicos similares.;1/11/11;30/6/12;SI
84;28;40;Escaleras mecánicas y pasillos móviles.;1/11/11;NULL;SI
84;29;40;Compactadoras y apisonadoras (aplanadoras).;1/11/11;NULL;SI
84;32;40;Esparcidores de estiércol y distribuidores de abonos.;1/11/11;NULL;SI
84;33;40;Prensas para paja o forraje, incluidas las prensas recogedoras.;1/11/11;NULL;SI
84;38;40;Máquinas y aparatos para la industria cervecera.;1/11/11;NULL;SI
84;41;40;Máquinas para moldear artículos de pasta de papel, de papel o cartón.;1/11/11;NULL;SI
84;42;40;Partes de estas máquinas, aparatos o material.;1/11/11;NULL;SI
84;45;40;Máquinas para bobinar (incluidas las canilleras) o devanar materia textil.;1/11/11;NULL;SI
90;15;40;Instrumentos y aparatos de fotogrametría.;1/11/11;NULL;SI
90;21;40;Audífonos, excepto sus partes y accesorios.;1/11/11;NULL;SI
84;18;40;Congeladores verticales del tipo armario, de capacidad inferior o igual a 900 l.;1/11/11;NULL;SI
84;19;40;Aparatos de destilación o rectificación.;1/11/11;NULL;SI
87;16;40;Los demás remolques y semirremolques.;1/11/11;NULL;SI
88;02;40;Aviones y demás aeronaves, de peso en vacío superior a 15,000 Kg.;1/11/11;NULL;SI
90;30;40;Los demás instrumentos y aparatos, especialmente concebidos para técnicas de telecomunicación (por ejemplo: hipsómetros, kerdómetros, distorsiómetros, sofómetros).;1/11/11;NULL;SI
09;09;40;Semillas de alcaravea.;1/11/11;30/6/12;SI
10;06;40;Arroz partido.;1/11/11;NULL;SI
12;07;40;Semilla de sésamo (ajonjolí).;1/11/11;NULL;SI
44;18;40;Encofrados para hormigón.;1/11/11;NULL;SI
82;08;40;Para máquinas agrícolas, hortícolas o forestales.;1/11/11;NULL;SI
28;44;40;"Elementos e isótopos y compuestos, radiactivos, excepto los de las subpartidas 2844.10, 2844.20 ó 2844.30; aleaciones, dispersiones (incluido el cermet), productos cerámicos y mezclas, que contengan estos elementos, isótopos o compuestos; residuos radiact";1/11/11;NULL;SI
70;19;40;"Tejidos de ""Rovings"".";1/11/11;NULL;SI
72;12;40;Pintados, barnizados o revestidos de plástico.;1/11/11;NULL;SI
34;05;40;Pastas, polvos y demás preparaciones para fregar.;1/11/11;NULL;SI
72;08;40;Sin enrollar, simplemente laminados en caliente, con motivos en relieve.;1/11/11;NULL;SI
72;16;40;Perfiles en L o en T, simplemente laminados o extrudidos en caliente, de altura superior o igual a 80 mm.;1/11/11;NULL;SI
39;07;40;Policarbonatos.;1/11/11;NULL;SI
73;06;40;Los demás, soldados, de sección circular, de acero inoxidable.;1/11/11;NULL;SI
73;08;40;Material de andamiaje, encofrado, apeo o apuntalamiento.;1/11/11;NULL;SI
62;06;40;De fibras sintéticas o artificiales.;1/11/11;NULL;SI
62;14;40;De fibras artificiales.;1/11/11;NULL;SI
63;01;40;Mantas de fibras sintéticas (excepto las eléctricas).;1/11/11;NULL;SI
63;02;40;Ropa de mesa, de punto.;1/11/11;NULL;SI
63;06;40;Colchones neumáticos.;1/11/11;NULL;SI
64;03;40;Los demás calzados, con puntera metálica de protección.;1/11/11;NULL;SI
68;11;40;Que contengan amianto (asbesto).;1/11/11;NULL;SI
28;33;40;Peroxosulfatos (persulfatos).;1/11/11;NULL;SI
85;41;40;"Dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emisores de luz.";1/11/11;NULL;SI
30;06;40;"Cementos y demás productos de obturación dental; cementos para la refección de los huesos.";1/11/11;NULL;SI
31;02;40;Mezclas de nitrato de amonio con carbonato de calcio u otras materias inorgánicas sin poder fertilizante.;1/11/11;NULL;SI
31;05;40;Dihidrogenoortofosfato de amonio (fosfato monoamónico), incluso mezclado con el hidrogenoortofosfato de diamonio (fosfato diamónico).;1/11/11;NULL;SI
32;07;40;Frita de vidrio y demás vidrios, en polvo, gránulos, copos o escamillas.;1/11/11;NULL;SI
39;23;40;Bobinas, carretes, canillas y soportes similares.;1/11/11;NULL;SI
55;01;40;De polipropileno.;1/11/11;NULL;SI
84;77;40;Máquinas de moldear en vacío y demás máquinas para termoformado.;1/11/11;NULL;SI
84;81;40;Válvulas de alivio o seguridad.;1/11/11;NULL;SI
84;82;40;Rodamientos de agujas.;1/11/11;NULL;SI
29;10;40;Dieldrina (ISO, DCI).;1/11/11;NULL;SI
28;16;40;Óxidos, hidróxidos y peróxidos, de estroncio o de bario.;1/11/11;NULL;SI
28;25;40;Óxidos e hidróxidos de níquel.;1/11/11;NULL;SI
28;36;40;Carbonatos de potasio.;1/11/11;NULL;SI
09;10;40;S/N;1/11/11;NULL;SI
15;15;40;S/N;1/11/11;NULL;SI
38;08;40;S/N;1/11/11;NULL;SI
83;01;40;"Las demás cerraduras; cerrojos.";1/11/11;NULL;SI
84;01;40;Partes de reactores nucleares.;1/11/11;NULL;SI
48;23;40;Papel diagrama para aparatos registradores, en bobinas (rollos), hojas o discos.;1/11/11;NULL;SI
84;13;40;Bombas para hormigón.;1/11/11;NULL;SI
84;14;40;Compresores de aire montados en chasis remolcable con ruedas.;1/11/11;NULL;SI
38;24;40;Aditivos preparados para cementos, morteros u hormigones.;1/11/11;NULL;SI
39;04;40;Los demás copolímeros de cloruro de vinilo.;1/11/11;NULL;SI
90;01;40;Lentes de vidrio para gafas (anteojos).;1/11/11;NULL;SI
90;08;40;Ampliadoras o reductoras, fotográficas.;1/11/11;30/6/12;SI
08;02;40;Castañas (Castanea spp.).;1/11/11;30/6/12;SI
08;05;40;Toronjas o pomelos.;1/11/11;NULL;SI
08;09;40;Ciruelas y endrinas.;1/11/11;NULL;SI
08;13;40;Las demás frutas u otros frutos.;1/11/11;NULL;SI
82;07;40;Útiles de roscar (incluso aterrajar).;1/11/11;NULL;SI
48;19;40;"Los demás sacos (bolsas); bolsitas y cucuruchos.";1/11/11;NULL;SI
48;20;40;"Formularios en paquetes o plegados (""manifold""), aunque lleven papel carbón (carbónico).";1/11/11;NULL;SI
84;22;40;Las demás máquinas y aparatos para empaquetar o envolver mercancías (incluidas las de envolver con película termorretráctil).;1/11/11;NULL;SI
02;08;40;"De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).";1/11/11;NULL;SI
03;02;40;Arenques (Clupea harengus, Clupea pallasii), excepto los hígados, huevas y lechas.;1/11/11;30/6/12;SI
90;06;40;Cámaras fotográficas de autorrevelado.;1/11/11;NULL;SI
06;02;40;Rosales, incluso injertados.;1/11/11;NULL;SI
07;09;40;Apio, excepto el apionabo.;1/11/11;NULL;SI
07;10;40;Maíz dulce.;1/11/11;NULL;SI
07;11;40;Pepinos y pepinillos.;1/11/11;NULL;SI
07;13;40;Lentejas.;1/11/11;NULL;SI
08;04;40;Aguacates (paltas).;1/11/11;NULL;SI
08;10;40;Arándanos rojos, mirtilos y demás frutos del género Vaccinium.;1/11/11;NULL;SI
09;02;40;Té negro (fermentado) y té parcialmente fermentado, presentados de otra forma.;1/11/11;NULL;SI
51;05;40;Pelo ordinario cardado o peinado.;1/11/11;NULL;SI
72;22;40;Perfiles.;1/11/11;NULL;SI
72;25;40;Los demás, simplemente laminados en caliente, sin enrollar.;1/11/11;NULL;SI
72;28;40;Las demás barras, simplemente forjadas.;1/11/11;NULL;SI
73;02;40;Bridas y placas de asiento.;1/11/11;NULL;SI
74;09;40;De aleaciones a base de cobre-níquel (cuproníquel) o de cobre-níquel-cinc (alpaca).;1/11/11;NULL;SI
42;03;40;Los demás complementos (accesorios) de vestir.;1/11/11;NULL;SI
82;01;40;Hachas, hocinos y herramientas similares con filo.;1/11/11;NULL;SI
39;09;40;Resinas fenólicas.;1/11/11;NULL;SI
39;17;40;Accesorios.;1/11/11;NULL;SI
39;26;40;Estatuillas y demás artículos de adorno.;1/11/11;NULL;SI
82;05;40;Destornilladores.;1/11/11;NULL;SI
40;11;40;De los tipos utilizados en motocicletas.;1/11/11;NULL;SI
23;02;40;De los demás cereales.;1/11/11;NULL;SI
25;08;40;Las demás arcillas.;1/11/11;NULL;SI
29;14;40;Cetonas-alcoholes y cetonas-aldehídos.;1/11/11;NULL;SI
29;15;40;Ácidos mono-, di- o tricloroacéticos, sus sales y sus ésteres.;1/11/11;NULL;SI
87;05;40;Camiones hormigonera.;1/11/11;NULL;SI
87;08;40;Cajas de cambio y sus partes.;1/11/11;NULL;SI
87;11;40;Con motor de émbolo (pistón) alternativo de cilindrada superior a 500 cm3 pero inferior o igual a 800 cm3.;1/11/11;NULL;SI
62;10;40;Las demás prendas de vestir para hombres o niños.;1/11/11;NULL;SI
26;20;40;Que contengan principalmente aluminio.;1/11/11;NULL;SI
58;06;40;Cintas sin trama, de hilados o fibras paralelizados y aglutinados.;1/11/11;NULL;SI
60;02;40;Con un contenido de hilados de elastómeros superior o igual al 5% en peso, sin hilos de caucho.;1/11/11;NULL;SI
29;30;40;Metionina.;1/11/11;NULL;SI
29;37;40;Derivados de los aminoácidos.;1/11/11;30/6/12;SI
29;41;40;"Cloranfenicol y sus derivados; sales de estos productos.";1/11/11;NULL;SI
30;03;40;Que contengan alcaloides o sus derivados, sin hormonas ni otros productos de la partida 29.37, ni antibióticos.;1/11/11;NULL;SI
30;04;40;Que contengan alcaloides o sus derivados, sin hormonas ni otros productos de la partida 29.37, ni antibióticos.;1/11/11;NULL;SI
04;06;40;Queso de pasta azul y demás quesos que presenten vetas producidas por Penicillium roqueforti.;1/11/11;NULL;SI
27;07;40;Naftaleno.;1/11/11;NULL;SI
94;01;40;Asientos transformables en cama, excepto el material de acampar o de jardín.;1/11/11;NULL;SI
94;03;40;Muebles de madera de los tipos utilizados en cocinas.;1/11/11;NULL;SI
94;05;40;Los demás aparatos eléctricos de alumbrado.;1/11/11;NULL;SI
95;04;40;Naipes.;1/11/11;NULL;SI
16;05;40;Los demás crustáceos.;1/11/11;NULL;SI
17;02;40;Glucosa y jarabe de glucosa, con un contenido de fructosa calculado sobre producto seco superior o igual al 20% pero inferior al 50%, en peso, excepto el azúcar invertido.;1/11/11;NULL;SI
19;02;40;Cuscús.;1/11/11;NULL;SI
19;05;40;Pan tostado y productos similares tostados.;1/11/11;NULL;SI
20;05;40;Chícharos (guisantes, arvejas) (Pisum sativum).;1/11/11;NULL;SI
20;08;40;Peras.;1/11/11;NULL;SI
55;03;40;De polipropileno.;1/11/11;NULL;SI
84;73;40;Partes y accesorios de máquinas de la partida 84.72.;1/11/11;NULL;SI
84;79;40;Máquinas de cordelería o cablería.;1/11/11;NULL;SI
84;83;40;"Engranes y ruedas de fricción, excepto las ruedas dentadas y demás elementos de transmisión presentados aisladamente; husillos fileteados de bolas o rodillos; reductores, multiplicadores y variadores de velocidad, incluidos los convertidores de par.";1/11/11;NULL;SI
96;03;40;"Pinceles y brochas para pintar, enlucir, barnizar o similares (excepto los de la subpartida 9603.30); almohadillas o muñequillas y rodillos, para pintar.";1/11/11;NULL;SI
96;08;40;Portaminas.;1/11/11;NULL;SI
22;08;40;Ron y demás aguardientes procedentes de la destilación, previa fermentación, de productos de la caña de azúcar.;1/11/11;NULL;SI
12;11;40;Paja de adormidera.;1/11/11;NULL;SI
48;08;40;"Papel Kraft, rizado (""crepé"") o plisado, incluso gofrado, estampado o perforado.";1/7/12;NULL;SI
73;19;40;Alfileres de gancho (imperdibles) y demás alfileres.;1/7/12;NULL;SI
04;01;40;Con un contenido de materias grasas superior al 6% pero inferior o igual al 10%, en peso.;1/7/12;NULL;SI
07;14;40;Taro (Colocasia spp.).;1/7/12;NULL;SI
08;08;40;Membrillos.;1/7/12;NULL;SI
10;08;40;Fonio (Digitaria spp.).;1/7/12;NULL;SI
41;06;40;De reptil.;1/11/11;NULL;SI
82;02;40;Cadenas cortantes.;1/11/11;NULL;SI
82;03;40;Cortatubos, cortapernos, sacabocados y herramientas similares.;1/11/11;NULL;SI
59;11;40;Capachos y telas gruesas de los tipos utilizados en las prensas de aceite o para usos técnicos análogos, incluidos los de cabello.;1/11/11;NULL;SI
60;03;40;De fibras artificiales.;1/11/11;NULL;SI
85;18;40;Amplificadores eléctricos de audiofrecuencia.;1/11/11;NULL;SI
85;23;40;Soportes ópticos.;1/11/11;30/6/12;SI
85;12;40;Limpiaparabrisas y eliminadores de escarcha o vaho.;1/11/11;NULL;SI
85;14;40;Los demás aparatos para tratamiento térmico de materias por inducción o pérdidas dieléctricas.;1/11/11;NULL;SI
85;16;40;Planchas eléctricas.;1/11/11;NULL;SI
81;12;40;S/N;1/11/11;NULL;SI
84;43;40;S/N;1/11/11;NULL;SI
84;70;40;S/N;1/11/11;NULL;SI
85;19;40;S/N;1/11/11;NULL;SI
85;24;40;S/N;1/11/11;NULL;SI
85;25;40;S/N;1/11/11;NULL;SI
85;43;40;S/N;1/11/11;NULL;SI
87;04;40;S/N;1/11/11;NULL;SI
90;27;40;S/N;1/11/11;NULL;SI
84;86;40;Máquinas y aparatos descritos en la Nota 9 C) de este Capítulo.;1/11/11;NULL;SI
85;01;40;Los demás motores de corriente alterna, monofásicos.;1/11/11;NULL;SI
85;02;40;Convertidores rotativos eléctricos.;1/11/11;NULL;SI
85;04;40;Convertidores estáticos.;1/11/11;NULL;SI
85;06;40;De óxido de plata.;1/11/11;NULL;SI
85;07;40;De níquel-hierro.;1/11/11;NULL;SI
85;09;40;"Trituradoras y mezcladoras de alimentos; extractoras de jugo de frutos u hortalizas.";1/11/11;NULL;SI
85;11;40;Motores de arranque, aunque funcionen también como generadores.;1/11/11;NULL;SI
84;51;40;Máquinas para lavar, blanquear o teñir.;1/11/11;NULL;SI
84;52;40;Muebles, basamentos y tapas o cubiertas para máquinas de coser, y sus partes.;1/11/11;30/6/12;SI
84;59;40;Las demás escariadoras.;1/11/11;NULL;SI
84;60;40;Máquinas de lapear (bruñir).;1/11/11;NULL;SI
84;61;40;Máquinas de tallar o acabar engranajes.;1/11/11;NULL;SI
91;14;40;Platinas y puentes.;1/11/11;NULL;SI
85;33;40;Las demás resistencias variables (incluidos reóstatos y potenciómetros).;1/11/11;NULL;SI
85;35;40;Pararrayos, limitadores de tensión y supresores de sobretensión transitoria.;1/11/11;NULL;SI
85;40;40;"Tubos para visualizar datos gráficos monocromos; tubos para visualizar datos gráficos, en colores, con pantalla fosfórica de separación de puntos inferior a 0.4 mm.";1/11/11;NULL;SI
95;06;40;Artículos y material para tenis de mesa.;1/11/11;NULL;SI
28;04;40;Oxígeno.;1/11/11;NULL;SI
28;05;40;Mercurio.;1/11/11;NULL;SI
52;09;41;De ligamento tafetán.;1/11/11;NULL;SI
25;17;41;De mármol.;1/11/11;NULL;SI
16;02;41;Jamones y trozos de jamón.;1/11/11;NULL;SI
52;11;41;De ligamento tafetán.;1/11/11;NULL;SI
54;03;41;De rayón viscosa.;1/11/11;NULL;SI
54;07;41;Crudos o blanqueados.;1/11/11;NULL;SI
84;71;41;Que incluyan en la misma envoltura, al menos, una unidad central de proceso y, aunque estén combinadas, una unidad de entrada y una de salida.;1/11/11;NULL;SI
84;80;41;Para el moldeo por inyección o compresión.;1/11/11;NULL;SI
20;09;41;De valor Brix inferior o igual a 20.;1/11/11;NULL;SI
23;06;41;Con bajo contenido de ácido erúcico.;1/11/11;NULL;SI
55;13;41;De fibras discontinuas de poliéster, de ligamento tafetán.;1/11/11;NULL;SI
55;14;41;De fibras discontinuas de poliéster, de ligamento tafetán.;1/11/11;NULL;SI
55;16;41;Crudos o blanqueados.;1/11/11;NULL;SI
56;07;41;Cordeles para atar o engavillar.;1/11/11;NULL;SI
85;23;41;Sin grabar.;1/7/12;NULL;SI
01;06;41;Abejas.;1/7/12;NULL;SI
02;07;41;Sin trocear, frescos o refrigerados.;1/7/12;NULL;SI
03;02;41;Arenques (Clupea harengus, Clupea pallasii).;1/7/12;NULL;SI
03;04;41;De salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho;1/7/12;NULL;SI
08;02;41;Con cáscara.;1/7/12;NULL;SI
12;02;41;Con cáscara.;1/7/12;NULL;SI
60;05;41;Crudos o blanqueados.;1/11/11;NULL;SI
85;28;41;De los tipos utilizados exclusiva o principalmente en un sistema automático para tratamiento o procesamiento de datos de la partida 84.71.;1/11/11;NULL;SI
84;48;41;S/N;1/11/11;NULL;SI
85;44;41;S/N;1/11/11;NULL;SI
90;10;41;S/N;1/11/11;NULL;SI
95;03;41;S/N;1/11/11;NULL;SI
84;62;41;De control numérico.;1/11/11;NULL;SI
28;27;41;De cobre.;1/11/11;NULL;SI
54;02;41;S/N;1/11/11;NULL;SI
63;06;41;S/N;1/11/11;NULL;SI
52;06;41;De título superior o igual a 714.29 decitex por hilo sencillo (inferior o igual al número métrico 14 por hilo sencillo).;1/11/11;NULL;SI
83;02;41;Para edificios.;1/11/11;NULL;SI
52;08;41;De ligamento tafetán, de peso inferior o igual a 100 g/m².;1/11/11;NULL;SI
38;25;41;Halogenados.;1/11/11;NULL;SI
03;03;41;Albacoras o atunes blancos (Thunnus alalunga).;1/11/11;NULL;SI
03;05;41;Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho).;1/11/11;NULL;SI
03;07;41;Vivos, frescos o refrigerados.;1/11/11;NULL;SI
48;11;41;Autoadhesivos.;1/11/11;NULL;SI
02;04;41;En canales o medias canales.;1/11/11;NULL;SI
44;03;41;Dark Red Meranti, Light Red Meranti y Meranti Bakau.;1/11/11;NULL;SI
52;05;41;De título superior o igual a 714.29 decitex por hilo sencillo (inferior o igual al número métrico 14 por hilo sencillo).;1/11/11;NULL;SI
73;04;41;Estirados o laminados en frío.;1/11/11;NULL;SI
73;14;41;Cincadas.;1/11/11;NULL;SI
40;02;41;Látex.;1/11/11;NULL;SI
02;06;41;Hígados.;1/11/11;NULL;SI
41;04;41;"Plena flor sin dividir; divididos con la flor.";1/11/11;NULL;SI
29;12;41;Vainillina (aldehído metilprotocatéquico ó 4-hidroxi-3-metoxibenzaldehído).;1/11/11;NULL;SI
57;02;41;De lana o pelo fino.;1/11/11;NULL;SI
52;10;41;De ligamento tafetán.;1/11/11;NULL;SI
62;03;41;De lana o pelo fino.;1/11/11;NULL;SI
29;21;41;Anilina y sus sales.;1/11/11;NULL;SI
85;36;41;Para una tensión inferior o igual a 60 V.;1/11/11;NULL;SI
85;39;41;Lámparas de arco.;1/11/11;NULL;SI
29;33;41;Levorfanol (DCI) y sus sales.;1/11/11;NULL;SI
29;39;41;Efedrina y sus sales.;1/11/11;NULL;SI
48;04;41;Crudos.;1/11/11;NULL;SI
84;30;41;Autopropulsadas.;1/11/11;NULL;SI
84;31;41;Cangilones, cucharas, cucharas de almeja, palas y garras o pinzas.;1/11/11;NULL;SI
90;18;41;Tornos dentales, incluso combinados con otros equipos dentales sobre basamento común.;1/11/11;NULL;SI
84;25;41;Elevadores fijos para vehículos automóviles, de los tipos utilizados en talleres.;1/11/11;NULL;SI
84;26;41;Sobre neumáticos.;1/11/11;NULL;SI
90;31;41;"Para control de obleas (""wafers"") o dispositivos, semiconductores, o para control de máscaras o retículas utilizadas en la fabricación de dispositivos semiconductores.";1/11/11;NULL;SI
70;13;41;De cristal al plomo.;1/11/11;NULL;SI
71;10;41;En bruto o en polvo.;1/11/11;NULL;SI
37;02;41;De anchura superior a 610 mm y longitud superior a 200 m, para fotografía en colores (policroma).;1/11/11;NULL;SI
72;02;41;Con un contenido de carbono superior al 4% en peso.;1/11/11;NULL;SI
72;04;41;Torneaduras, virutas, esquirlas, limaduras (de amo­lado, aserrado, limado) y recortes de estampado o de corte, incluso en paquetes.;1/11/11;NULL;SI
72;10;41;Ondulados.;1/11/11;NULL;SI
29;22;41;"Lisina y sus ésteres; sales de estos productos.";1/11/11;NULL;SI
62;04;41;De lana o pelo fino.;1/11/11;NULL;SI
62;11;41;De lana o pelo fino.;1/11/11;30/6/12;SI
33;07;41;Agarbatti y demás preparaciones odoríferas que actúan por combustión.;1/11/11;NULL;SI
32;06;41;Ultramar y sus preparaciones.;1/11/11;NULL;SI
40;09;41;Sin accesorios.;1/11/11;NULL;SI
55;09;41;Sencillos.;1/11/11;NULL;SI
29;02;41;o-Xileno.;1/11/11;NULL;SI
29;03;41;Triclorofluorometano.;1/11/11;30/6/12;SI
29;05;41;2-Etil-2-(hidroximetil)propano-1,3-diol (trimetilolpropano).;1/11/11;NULL;SI
29;09;41;2,2'-Oxidietanol (dietilenglicol).;1/11/11;NULL;SI
61;03;41;De lana o pelo fino.;1/11/11;NULL;SI
61;04;41;De lana o pelo fino.;1/11/11;NULL;SI
60;06;41;Crudos o blanqueados.;1/11/11;NULL;SI
61;12;41;De fibras sintéticas.;1/11/11;NULL;SI
52;08;42;De ligamento tafetán, de peso superior a 100 g/m².;1/11/11;NULL;SI
62;03;42;De algodón.;1/11/11;NULL;SI
16;02;42;Paletas y trozos de paleta.;1/11/11;NULL;SI
52;11;42;"Tejidos de mezclilla (""Denim"").";1/11/11;NULL;SI
54;07;42;Teñidos.;1/11/11;NULL;SI
55;09;42;Retorcidos o cableados.;1/11/11;NULL;SI
55;14;42;De fibras discontinuas de poliéster, de ligamento sarga, incluido el cruzado, de curso inferior o igual a 4.;1/11/11;NULL;SI
02;07;42;Sin trocear, congelados.;1/7/12;NULL;SI
